AGC,PKA,PRKACA,CACNA1C,10514522;10984483;15174125;18689816;2174428;7621818;8612821;8664319;9247274,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,CACNG2,11805122;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CAD,11986331;15174125;18689816;4092695,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CCND1,15174125;18689816;8058338,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CDK16,12154078;15174125;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CETN1,11279195;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT
AGC,PKA,PRKACA,CFTR,1377674;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CIITA,11416140;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CLDN3,15174125;15905176;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CREB1,15174125;2875459;2885756,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,CREM,15174125;18689816;8404858,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CSK,11181701;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,CUL5,10898738;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,DNAJC5,11604405;14997482;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,DSP,15174125;18689816;7525582,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,EGFR,17981841;18689816;9050991,HPRD;NETWORKIN;PHOSPHOPOINT
AGC,PKA,PRKACA,EPB49,15174125;18689816;7615546,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,ESR1,15174125;18689816;9891036,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,ETV1,11551945;12213813;12569367;12917345;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,FLNA,15174125;15228085;207708,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,FXYD1,14597563;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,GFAP,15174125;18689816;2114109;2155236;7822264;9099667,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,GMFB,15174125;18689816;9030586,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,GNA13,12399457;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,GRIA1,12843287;15174125;18689816;8663994,HPRD;MINT;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,GSK3A,11035810;11749387;11884598;12054501;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,GSK3B,11035810;12147701;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,HDAC8,14701748;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,HMGN1,10739259;11438671;12773393;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT
AGC,PKA,PRKACA,HNRNPD,11903055;12819195;15174125;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,ITGA4,11533025;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
